Date;Num_Sujet;Stimulus;Pays;Classe;Classe_modif;Plateau_Classe;Classe(2);Plateau_Classe(2);Comm_brut;Comm_net;NoteEqu;NoteHedo;Zone + ;Zone - ;Nb_Repas;Petit_dej;Repas_imp;Grignotage;Cantine;Viande;Fruits;Légumes;5FruitsLégumes;Produits_Laitiers;Féculents;Sucreries;Sodas;Jus_Fruits;Plats_Préparés;Entrée;Dessert;PourcentageLipides;PourcentageGlucides;PourcentageProtéines;Repas_Equ;Plaisir_Cuisine;Temps_Sport;Sports_Pref;Continent;Langues_Etrangères;Restaurant;Age;Sexe
11-janv;11;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de légumes Assez de protéines Un peu trop de féculents Produit industriel Pas assez de fruits;Assez_légumes Assez_protéines Trop_féculents Produits_transformés Pas_assez_fruits;4;5;Droite;Crêpe;3;Semaine;Déjeuner;Environ une fois par jour;Oui, tous les midis;Plusieurs fois par semaine;A tous les repas;A tous les repas;Non;Environ une fois par jour;A tous les repas;Environ une fois par semaine;Rarement;Environ une fois par jour;Jamais;Oui, mais que à la cantine;Oui, mais que à la cantine;15;50;35;Un repas qui fait plaisir à manger;Oui, même quand je cuisine seulement pour moi;4;Volley;Europe;3;Des sushis, Une viande marinée aux épices indiennes (Masala, Tandoori, Biryani...);22;Féminin
11-janv;12;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Pas assez de fruits Assez de légumes Assez de féculents Assez de protéines;Pas_assez_fruits Assez_légumes Assez_féculents Assez_protéines;6;5;Droite : légumes;Crêpe;4;Toujours;Petit_dej;Environ une fois par jour;Non, jamais;Environ une fois par jour;Plusieurs fois par semaine;Plusieurs fois par semaine;Non;Environ une fois par jour;Environ une fois par jour;Plusieurs fois par semaine;Plusieurs fois par semaine;Environ une fois par jour;Oui, quelques fois par semaine;Oui, mais que à la cantine;Non, jamais;10;40;50;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, mais seulement que je cuisine pour ma famille / mes amis;0;;Europe;2;Des fajitas / Des tacos / Des burritos, Une raclette / Une tartiflette;34;Masculin
11-janv;13;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de légumes Pas assez de fruits Assez de protéines Assez de féculents Moins varié;Assez_légumes Pas_assez_fruits Assez_protéines Assez_féculents Pas_assez_diversifié;7;5;Droite;Gauche;3;Toujours;Déjeuner;Plusieurs fois par semaine;Non, jamais;Environ une fois par semaine;Plusieurs fois par semaine;A tous les repas;Oui;Environ une fois par jour;A tous les repas;Environ une fois par jour;Rarement;Environ une fois par jour;Jamais;Non, jamais;Oui, mais que à la maison;30;50;20;Un repas avec une majorité de légumes;Oui, même quand je cuisine seulement pour moi;2;Fitness;Europe, Amérique du Sud;2;Des sushis, Des ramens;22;Féminin
11-janv;14;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Assez de légumes Assez féculents Assez de protéines Assez de fruits;Assez_légumes Assez_féculents Assez_protéines Assez_fruits;6;5;Féculents/Protéines;Crêpe;3;Week_end;Déjeuner;Plusieurs fois par semaine;Oui, tous les midis;A tous les repas;Environ une fois par semaine;Plusieurs fois par semaine;Non;A tous les repas;A tous les repas;Plusieurs fois par semaine;Rarement;Rarement;Oui, quelques fois par mois;Oui, mais que à la cantine;Oui, toujours;20;20;60;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;7;Rugby, Surf, Course, Foot;Europe;2;Un couscous / Une tajine, Une viande marinée aux épices indiennes (Masala, Tandoori, Biryani...);23;Masculin
11-janv;15;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de protéines Assez de féculents Pas assez de fruits et légumes;Assez_protéines Assez_féculents Pas_assez_fruits Pas_assez_légumes;6;5;Haut;Bas;3;Toujours;Déjeuner;Environ une fois par jour;Oui, tous les midis;Environ une fois par semaine;Environ une fois par jour;A tous les repas;Non;Environ une fois par semaine;A tous les repas;Plusieurs fois par semaine;Rarement;Rarement;Jamais;Oui, mais que à la cantine;Oui, toujours;40;40;20;Un repas avec une majorité de légumes;Non, je n'aime pas ça;3;Basket, self-defense;Europe, Afrique;4;Des sushis, Des ramens;21;Féminin
11-janv;16;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Chou bien Assez de légumes Pas assez de fruits Assez de protéines Assez de féculents Crêpe en trop, n’apporte rien de plus;Assez_légumes Pas_assez_fruits Assez_protéines Assez_féculents;8;2;Droite;Crêpe;3;Semaine;Déjeuner;Jamais;Oui, tous les midis;Environ une fois par jour;A tous les repas;Plusieurs fois par semaine;Non;Plusieurs fois par semaine;A tous les repas;Environ une fois par semaine;Jamais;Jamais;Jamais;Non, jamais;Oui, toujours;30;50;20;Un repas avec une majorité de légumes;Oui, même quand je cuisine seulement pour moi;3;Badminton Course à pied;Europe, Afrique, Asie, Amérique du Sud;2;Une pizza / Des pâtes, Une raclette / Une tartiflette;22;Masculin
11-janv;17;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Trop gras Trop transformé Assez de légumes Pas assez de fruits Pas assez de féculents Pas assez de protéines;Trop_gras Produits_transformés Assez_légumes Pas_assez_fruits Pas_assez_féculents Pas_assez_protéines;5;5;Betterave;Crêpe;4;Toujours;Déjeuner;Environ une fois par jour;Oui, tous les midis;Environ une fois par jour;Environ une fois par jour;A tous les repas;Non;Environ une fois par jour;A tous les repas;Environ une fois par jour;Environ une fois par semaine;Environ une fois par jour;Jamais;Oui, toujours;Oui, toujours;25;60;15;Un repas avec une majorité de féculents;Oui, même quand je cuisine seulement pour moi;8;Musculation/Escalade;Europe;1;Des ramens, Une raclette / Une tartiflette;23;Masculin
11-janv;18;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Trop de légumes Pas assez de fruits Assez de protéines Assez de féculents;Trop_légumes Pas_assez_fruits Assez_protéines Assez_féculents;6;4;Légumes;Crêpe;2;Jamais;Déjeuner;Plusieurs fois par semaine;Non, jamais;Environ une fois par jour;Environ une fois par jour;Plusieurs fois par semaine;Non;Environ une fois par jour;A tous les repas;Environ une fois par jour;Jamais;Jamais;Oui, quelques fois par mois;Non, jamais;Oui, toujours;10;60;30;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, mais seulement que je cuisine pour ma famille / mes amis;2;Marche;Europe, Afrique, Amérique du Nord;2;Un couscous / Une tajine, Des fruits de mer;22;Féminin
11-janv;19;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Trop industriel Trop fade Un peu de tout Pas assez de protéines Assez de féculents Assez de légumes Pas assez de fruits Pas assez de produits laitiers;Produits_transformés Trop_fade Pas_assez_protéines Assez_féculents Assez_légumes Pas_assez_fruits Pas_assez_produits_laitiers;5;4;Droite;Gauche;4;Toujours;Petit_dej;Jamais;Non, jamais;Plusieurs fois par semaine;Environ une fois par jour;Environ une fois par jour;Oui;A tous les repas;A tous les repas;Environ une fois par jour;Rarement;Rarement;Oui, quelques fois par mois;Oui, mais que à la cantine;Oui, toujours;20;50;30;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;3;Fitness;Europe, Afrique;2;Des fajitas / Des tacos / Des burritos, Un couscous / Une tajine;22;Féminin
11-janv;20;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Trop de sucre Pas assez de fruits Assez de protéines Trop gras Assez de légumes Trop de féculents Pas assez de produits laitiers;Trop_sucré Pas_assez_fruits Assez_protéines Trop_gras Assez_légumes Trop_féculents Pas_assez_produits_laitiers;4;5;Betterave;Saucisses;3;Toujours;Déjeuner;Environ une fois par semaine;Oui, tous les midis;Plusieurs fois par semaine;A tous les repas;A tous les repas;Oui;Environ une fois par semaine;Environ une fois par jour;Rarement;Jamais;Rarement;Jamais;Oui, mais que à la cantine;Oui, mais que à la maison;20;50;30;Un repas avec une majorité de légumes;Oui, même quand je cuisine seulement pour moi;2,5;Danse;Europe;2;Des ramens, Une viande marinée aux épices indiennes (Masala, Tandoori, Biryani...);19;Féminin
11-janv;21;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Trop de saucisses Trop de protéines Trop de légumes Pas assez de fruits Assez de féculents;Trop_protéines Trop_légumes Pas_assez_fruits Assez_féculents;6;3;Choux;Saucisses;2;Jamais;Déjeuner;Entre chaque repas;Oui, tous les midis;A tous les repas;Plusieurs fois par semaine;Environ une fois par semaine;Non;A tous les repas;A tous les repas;Environ une fois par jour;Rarement;Plusieurs fois par semaine;Jamais;Non, jamais;Non, jamais;33,33333333;33,33333333;33,33333333;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, parfois, cela dépend de mon humeur;0;Hokey;Asie;1;Des sushis, Des ramens;27;Masculin
12-janv;22;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Assez de légumes Assez de protéines Assez de féculents Pas assez de fruits Manque de peps;Assez_légumes Assez_protéines Assez_féculents Pas_assez_fruits Pas_assez_coloré;7;6;Plat : purée / saucisse;Rien;3;Toujours;Déjeuner;Rarement;Oui, quelques fois par semaine;A tous les repas;Environ une fois par jour;Environ une fois par jour;Non;Environ une fois par jour;A tous les repas;Environ une fois par jour;Rarement;Rarement;Jamais;Oui, mais que à la cantine;Oui, mais que à la cantine;20;50;30;Un repas qui fait plaisir à manger;Oui, mais seulement que je cuisine pour ma famille / mes amis;1;Velo d'appartement;Europe, Afrique, Amérique du Nord;2;Une galette bretonne, Un fish & chips;52;Féminin
12-janv;23;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Trop de gras Trop de protéines Trop de féculents Pas assez de légumes Pas assez de fruits;Trop_gras Trop_protéines Trop_féculents Pas_assez_légumes Pas_assez_fruits;4;4;Droite;Gauche;4;Toujours;Petit_dej;Rarement;Non, jamais;Environ une fois par semaine;Environ une fois par jour;A tous les repas;Oui;A tous les repas;A tous les repas;A tous les repas;Rarement;Environ une fois par semaine;Oui, quelques fois par semaine;Non, jamais;Oui, toujours;35;25;40;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;5;Equitation/ Marche;Europe;2;Un burger, Des fajitas / Des tacos / Des burritos;22;Féminin
12-janv;24;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Pas assez de légumes verts Trop de sucre Diversité de protéines Trop de féculents Pas assez de diversité au niveau des aliments Assez de protéines Assez de fruits;Pas_assez_légumes Trop_sucré Pas_assez_diversifié Trop_féculents Assez_protéines Assez_fruits;5;5;Aucune;Aucune;2;Jamais;Déjeuner;Jamais;Non, jamais;A tous les repas;Environ une fois par jour;Plusieurs fois par semaine;Non;Environ une fois par jour;Environ une fois par jour;Environ une fois par jour;Plusieurs fois par semaine;Environ une fois par semaine;Oui, quelques fois par mois;Non, jamais;Oui, toujours;30;30;40;Un repas qui fait plaisir à manger;Oui, parfois, cela dépend de mon humeur;2;Equitation;Europe;2;Des fruits de mer, Une galette bretonne;22;Féminin
12-janv;25;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Assez de protéines Assez de féculents Assez de légumes Pas de fruits mais ok parce que légumes;Assez_protéines Assez_féculents Assez_légumes Assez_fruits;7;7;Droite;Crêpe;2;Jamais;Déjeuner;Plusieurs fois par semaine;Oui, tous les midis;Plusieurs fois par semaine;Plusieurs fois par semaine;A tous les repas;Non;A tous les repas;A tous les repas;Environ une fois par jour;Environ une fois par semaine;Environ une fois par semaine;Oui, quelques fois par mois;Oui, mais que à la cantine;Oui, mais que à la cantine;15;50;35;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, parfois, cela dépend de mon humeur;1;Course;Europe;3;Un burger, Une viande marinée aux épices indiennes (Masala, Tandoori, Biryani...);20;Masculin
12-janv;26;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de féculents Assez de légumes Protéines transformées Trop gras Pas assez de protéines végétales Assez de protéines (Juste) Assez de fruits;Assez_féculents Assez_légumes Produits_transformées Trop_gras Assez_protéines Assez_fruits;6;9;Crêpe/Chou;Saucisse/Purée;3;Week_end;Dîner;Environ une fois par jour;Oui, tous les midis;Plusieurs fois par semaine;Environ une fois par jour;A tous les repas;Non;Environ une fois par semaine;A tous les repas;Environ une fois par jour;Rarement;Rarement;Oui, quelques fois par mois;Oui, mais que à la maison;Oui, toujours;30;40;30;Un repas avec une majorité de légumes;Oui, même quand je cuisine seulement pour moi;10;Badminton/Rock/Course/Rando;Europe;4;Des sushis, Une raclette / Une tartiflette;20;Féminin
12-janv;27;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de protéines Trop de féculents Pas les “bons” féculents Chou = fibres Pas assez de légumes Pas assez de quantité globale Assez de fruits Couleurs fades;Assez_protéines Trop_féculents Mauvais_féculents Assez_fibres Pas_assez_légumes Pas_assez_quantité Assez_fruits Trop_fade;3;3;Droite;Gauche;4;Toujours;Déjeuner;Rarement;Non, jamais;Environ une fois par semaine;A tous les repas;A tous les repas;Oui;A tous les repas;A tous les repas;Environ une fois par jour;Jamais;Environ une fois par semaine;Jamais;Oui, mais que à la maison;Oui, toujours;20;50;30;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;3;Course à pied + Vélo + Fitness + Natation;Europe, Afrique, Océanie;2;Des ramens, Un couscous / Une tajine;23;Féminin
12-janv;28;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Pas assez de protéines Trop de féculents Pas assez de légumes Pas assez de fruits;Pas_assez_protéines Trop_féculents Pas_assez_légumes Pas_assez_fruits;3;4;Droite;Gauche;4;Toujours;Petit_dej;Rarement;Oui, tous les midis;Plusieurs fois par semaine;Environ une fois par jour;Plusieurs fois par semaine;Non;A tous les repas;A tous les repas;Plusieurs fois par semaine;Rarement;Rarement;Oui, quelques fois par mois;Oui, mais que à la cantine;Oui, toujours;30;40;30;Un repas avec une majorité de légumes;Oui, parfois, cela dépend de mon humeur;5;Course;Europe, Afrique, Asie;2;Un couscous / Une tajine, Une raclette / Une tartiflette;22;Féminin
12-janv;29;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de protéines Assez de légumes Assez de féculents Pas assez de fruits Pas assez de produits laitiers Crêpe trop sèche;Assez_protéines Assez_légumes Assez_féculents Pas_assez_fruits Pas_assez_produits_laitiers Trop_sec;5;3;Aucune;Crêpe;4;Toujours;Déjeuner;Jamais;Oui, tous les midis;Environ une fois par jour;Environ une fois par jour;Environ une fois par jour;Non;Environ une fois par jour;A tous les repas;Rarement;Jamais;Environ une fois par jour;Oui, quelques fois par mois;Oui, toujours;Oui, toujours;25;50;25;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;10;Rugby/Hand/Volley;Europe;2;Des ramens, Une galette bretonne;22;Masculin
12-janv;30;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Crêpe industriel Trop sucré Pas assez de fruits Trop salé Assez de protéines Assez de féculents Pas assez de légumes;Produits_transformés Trop_sucré Pas_assez_fruits Trop_salé Assez_protéines Assez_féculents Pas_assez_légumes;4;4;Tout sauf crêpe;crêpe;3;Toujours;Dîner;Rarement;Oui, quelques fois par mois;Jamais;Plusieurs fois par semaine;A tous les repas;Oui;Environ une fois par jour;A tous les repas;Plusieurs fois par semaine;Rarement;Rarement;Oui, quelques fois par mois;Non, jamais;Oui, mais que à la cantine;30;40;30;Un repas sans protéines d'origine animale;Oui, mais seulement que je cuisine pour ma famille / mes amis;4;Yoga Marche;Europe, Afrique;2;Des sushis, Une raclette / Une tartiflette;21;Féminin
12-janv;31;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Pas assez de légumes frais mais sinon quantité ok Pas assez de fruits Trop de féculents Assez de protéines;Assez_légumes Pas_assez_fruits Trop_féculents Assez_protéines Pas_assez_frais;4;1;Bas;Haut;3;Toujours;Déjeuner;Environ une fois par jour;Non, jamais;Jamais;Environ une fois par jour;A tous les repas;Non;A tous les repas;A tous les repas;Environ une fois par jour;Rarement;Jamais;Jamais;Oui, mais que à la cantine;Oui, toujours;20;50;30;Un repas avec une majorité de légumes;Oui, mais seulement que je cuisine pour ma famille / mes amis;3;Lutte marche;Europe, Asie, Amérique du Nord, Amérique du Sud;3;Des ramens, Une galette bretonne;24;Féminin
12-janv;32;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Assez de légumes Pas assez de féculents Pas assez de fibres Transformé (saucisses) Assez de protéines Pas assez de fruits;Assez_légumes Pas_assez_féculents Pas_assez_fibres Produits_transformés Assez_protéines Pas_assez_fruits;4;3;Légumes/Féculents;Crêpe;3;Semaine;Déjeuner;Rarement;Non, jamais;Plusieurs fois par semaine;Environ une fois par jour;A tous les repas;Non;Environ une fois par jour;Environ une fois par jour;Rarement;Jamais;Jamais;Jamais;Non, jamais;Oui, toujours;70;10;20;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;0;Football/Musculation/Boxe;Europe, Afrique;5;Des sushis, Un steak accompagné de frites;38;Masculin
12-janv;33;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Pas assez de protéines Pas assez de féculents Assez de légumes + qualitatif Pas assez de fruits;Pas_assez_protéines Pas_assez_féculents Assez_légumes Pas_assez_fruits;4;2;Légumes;Rien;4;Toujours;Petit_dej;Rarement;Non, jamais;Environ une fois par jour;A tous les repas;A tous les repas;Oui;Environ une fois par jour;A tous les repas;Rarement;Rarement;Rarement;Jamais;Non, jamais;Oui, toujours;30;40;30;Un repas avec une majorité de féculents;Oui, parfois, cela dépend de mon humeur;5;Footing Fitness;Europe;4;Un burger, Une raclette / Une tartiflette;22;Masculin
